Feature Id,Importances
cosine_distance,21.053117791270164
course_like_rate,8.09525135061333
jaccard_tags,7.45331772894467
cooc_mean,7.174674700957562
primary_domain_match,6.232786744061419
cluster_jaccard,5.4178371510974
domain_jaccard,5.20486367366781
user_session_length_avg,4.560772045399136
l2_distance,4.029454437197458
max_jaccard_to_recent_likes,3.4070989530675195
cooc_max,2.6687462799431763
user_activity_ratio_7d_30d,2.668710116248147
cooc_sum,2.6331486652384912
difficulty_match,2.0568029569800634
user_like_rate_30d,1.8552465479838771
user_domain_count,1.400503445405844
max_cosine_to_recent_likes,1.3298204336666184
course_likes_30d,1.0602740944360969
course_trend,0.7725893500570437
course_popularity_weight,0.6834303230760428
times_viewed_before,0.6501084797193024
course_views_30d,0.6136311466952888
course_views_7d,0.5340582158671197
user_likes_30d,0.4640615961847388
user_views_trend,0.41773618481016334
common_tags,0.33936681274641256
course_likes_7d,0.3243235896797953
viewed_before,0.3143894753528937
liked_before,0.2293942659167581
user_likes_7d,0.15353373803922735
user_views_7d,0.13399071712827432
user_unique_courses_7d,0.06309587350101457
mean_cosine_to_recent_views,0.06140341387996817
user_views_prev_7d,0.05261142165941897
last_interaction_days,0.013965312351093447
user_views_30d,0.0
user_unique_tags_7d,0.0
user_tags_entropy,0.0
days_since_last_action,0.0
course_age_days,0.0
course_tags_count,0.0
dot_product,0.0
